ID,address,info,z_address,bathrooms,bedrooms,finishedsqft,lastsolddate,lastsoldprice,latitude,longitude,neighborhood,totalrooms,usecode,yearbuilt,zestimate,zindexvalue,zipcode,zpid
2,Address: 1160 Mission Street #2007, San FranciscoSales price: 1300000Sales date: 02/17/2016Bedrooms: 2Square feet: 1043Lot size: 43557,1160 Mission St UNIT 2007,2,2,1043,02/17/2016,1300000,37.778705,-122.412635,South of Market,4,Condominium,2007,1167508,"975,700",94103,83152781
5,Address: 260 King Street #475, San FranciscoSales price: 750000Sales date: 02/17/2016Bedrooms: 1Square feet: 908Lot size: 213232,260 King St UNIT 475,1,1,903,02/17/2016,750000,37.777641,-122.393417,South of Market,3,Condominium,2004,823719,"975,700",94107,69819817
7,Address: 560 Missouri Street #B, San FranciscoSales price: 1495000Sales date: 02/17/2016Bedrooms: 3Square feet: 1425Lot size: 2496,560 Missouri St # B,4,3,1425,02/17/2016,1495000,37.759198,-122.396516,Potrero Hill,6,Condominium,2003,1708594,"1,277,600",94107,64972847
9,Address: 350 Missouri Street, San FranciscoSales price: 2700000Sales date: 02/17/2016Bedrooms: 3Square feet: 1984Lot size: 2469,350 Missouri St,3,3,2231,02/17/2016,2700000,37.761886,-122.396769,Potrero Hill,10,SingleFamily,1927,2411236,"1,277,600",94107,15149489
11,Address: 3658 Folsom Street, San FranciscoSales price: 1530000Sales date: 02/17/2016Bedrooms: 0Square feet: 924Lot size: 1750,3658 Folsom St,3,3,1300,02/17/2016,1530000,37.740795,-122.413453,Bernal Heights,4,SingleFamily,1900,1918539,"1,248,000",94110,15161978
12,Address: 156 Lowell Street, San FranciscoSales price: 460000Sales date: 02/17/2016Bedrooms: 2Square feet: 1250Lot size: 3000,156 Lowell St,1,2,1250,02/17/2016,460000,37.710226,-122.446027,Crocker Amazon,5,SingleFamily,1924,703392,"823,000",94112,15178981
13,Address: 735 Lakeview Avenue, San FranciscoSales price: 532000Sales date: 02/17/2016Bedrooms: 3Square feet: 1032Lot size: 2495,735 Lakeview Ave,1,3,1032,02/17/2016,532000,37.718024,-122.460332,Oceanview,6,SingleFamily,1939,741715,"762,700",94112,15192274
14,Address: 430 Capistrano Avenue, San FranciscoSales price: 1050000Sales date: 02/17/2016Bedrooms: 0Square feet: 1200Lot size: 3136,430 Capistrano Ave,1,2,1200,02/17/2016,1050000,37.725204,-122.439273,Mission Terrace,5,SingleFamily,1924,1023650,"992,600",94112,15141129
15,Address: 4135 23rd Street, San FranciscoSales price: 3500000Sales date: 02/17/2016Bedrooms: 4Square feet: 2661Lot size: 2944,4135 23rd St,3.5,4,2700,02/17/2016,3500000,37.752602,-122.435011,Noe Valley,9,SingleFamily,1912,3604950,"1,782,000",94114,15131647
16,Address: 440 Steiner Street, San FranciscoSales price: 1500000Sales date: 02/17/2016Bedrooms: 3Square feet: 2016Lot size: 2885,440 Steiner St,2,3,2016,02/17/2016,1500000,37.773237,-122.432302,Hayes Valley,7,Condominium,1890,1547314,"1,224,800",94117,118608077
18,Address: 414 Somerset Street, San FranciscoSales price: 848000Sales date: 02/17/2016Bedrooms: 5Square feet: 1798Lot size: 2273,414 Somerset St,1,3,1798,02/17/2016,848000,37.726252,-122.407649,Portola,8,SingleFamily,1953,933506,"888,400",94134,15170161
